MatrixSize,NumProcesses,SequentialTime_gen,ParallelTime_gen,SequentialTime_pso,ParallelTime_pso
100,24,4.082894563674927,77.09780359268188,15.22309923171997,95.45323610305786
150,24,7.007119655609131,75.36026954650879,19.906239986419678,100.28304672241211
200,24,12.029174089431763,78.90114569664001,24.960811853408813,89.88145279884338
250,24,28.638132333755493,88.26191139221191,35.742379665374756,94.06383872032166
360,24,114.8637,95.05027103424072,114.86370,104.16164350509644
480,24,183.8182,107.97380208969116,183.8182,120.03281736373901
600,24,275.7816,133.28902769088745,275.7816,137.15197658538818
720,24,387.9285,154.11576962471008,387.9285,160.2169258594513
840,24,602.4391,176.53016829490662,602.4391,186.82826137542725
1000,24,540.2026541233063,216.93532729148865,1106.648818731308,223.65556693077087
